Depth	d18O
0.12	3.38
0.23	3.46
0.33	3.77
0.43	4.14
0.53	4.47
0.63	4.99
0.73	4.99
0.87	4.9
1	4.56
1.13	4.76
1.23	4.74
1.33	4.64
1.45	4.49
1.59	4.56
1.69	4.48
1.79	4.44
1.87	4.51
1.98	4.35
2.07	4.37
2.18	4.43
2.28	4.33
2.38	4.35
2.47	4.34
2.59	4.46
2.67	4.35
2.78	4.5
2.87	4.33
2.96	4.36
3.09	4.35
3.18	4.47
3.28	4.42
3.39	4.5
3.48	4.48
3.57	4.11
3.67	4.33
3.78	3.98
3.88	4.04
3.99	3.9
4.1	4.06
4.2	4.09
4.28	4.08
4.37	4.01
4.43	3.91
4.46	3.93
4.55	3.76
4.67	4.03
4.79	3.82
4.9	3.4
5.02	3.52
5.12	3.13
5.22	2.98
5.32	3.25
5.42	4.05
5.52	4.18
5.62	4.71
5.72	4.88
5.82	4.37
5.92	4.7
6.02	4.76
6.13	4.69
6.23	4.61
6.33	4.47
6.43	4.59
6.53	4.53
6.63	4.66
6.72	4.67
6.82	4.66
6.91	4.57
7	4.47
7.09	4.43
7.18	4.39
7.27	4.3
7.36	4.26
7.45	4.24
7.53	4.32
7.62	4.3
7.71	4.3
7.79	4.46
7.88	4.07
7.95	3.96
8.03	4.03
8.1	4
8.18	3.63
8.26	3.82
8.34	3.71
8.42	3.6
8.5	3.53
8.59	3.46
8.68	3.8
8.77	4.32
8.87	4.41
8.98	4.07
9.08	4.19
9.19	4.06
9.29	3.85
9.4	3.73
9.49	3.74
9.58	4.16
9.68	4.15
9.78	4.42
9.87	4.52
9.96	4.46
10.06	4.51
10.16	4.46
10.27	4.46
10.38	4.38
10.5	4.38
10.55	4.42
10.61	4.27
10.71	4.49
10.73	4.39
10.84	4.48
10.91	4.27
10.94	4.24
11.03	4.05
11.12	4.01
11.2	3.81
11.23	3.87
11.28	3.84
11.32	3.94
11.36	3.95
11.41	3.85
11.49	3.9
11.59	4.12
11.71	4.03
11.8	3.96
11.87	4.14
11.94	3.9
12.03	3.87
12.09	3.83
12.2	3.85
12.33	3.59
12.38	3.8
12.43	3.73
12.51	4.05
12.53	3.74
12.62	3.25
12.64	3.25
12.71	3.36
12.79	3.47
12.81	3.74
12.97	3.73
13.05	3.93
13.18	4.64
13.2	4.28
13.27	4.63
13.29	4.43
13.33	4.57
13.37	4.75
13.39	4.61
13.46	4.6
13.54	4.71
13.56	4.41
13.67	4.55
13.77	4.55
13.85	4.63
13.91	4.53
13.96	4.59
14.02	4.52
14.08	4.93
14.18	4.21
14.32	4.08
14.46	4.55
14.59	4.13
14.69	4.13
14.77	4.11
14.86	4.01
14.95	4.09
15.06	3.92
15.18	3.72
15.33	3.8
15.42	3.51
15.47	3.52
15.52	3.2
15.6	3.21
15.63	3.26
15.74	3.07
15.85	3.31
15.95	3.34
16.06	3.48
16.17	3.72
16.27	4.34
16.41	4.53
16.51	4.81
16.61	4.92
16.71	4.92
16.82	5
16.92	4.92
17.02	4.51
17.11	4.7
17.31	4.46
17.41	4.46
17.51	4.53
17.61	4.46
17.71	4.44
17.9	4.43
17.93	4.52
18	4.55
18.03	4.45
18.1	4.64
18.2	4.71
18.3	4.59
18.41	4.61
18.51	4.64
18.61	4.43
18.71	4.26
18.81	4.04
18.91	4.08
19.05	3.93
19.15	3.82
19.25	3.82
19.35	4.35
19.45	3.87
19.55	3.94
